origin,Travel Mangroove Forests,Apartemen Taman Melati,Waduk Setia Budi Timur,Aqua Fun,Jalan Pantai Karnaval Ancol,Key Park ( butterfly and rabbits),National Monument,Komodo Indonesian Fauna Museum and Reptile Park,Antara Gallery of Photo Journalism,Museum Of M. H. Thamrin,Taman Bmw,Museum Kehutanan Manggala Wanabakti,Allianz Eco Park,Al-Bina Mosque,Pancasila Sakti Monument,Taman Dadap Merah,Satriamandala Museum,Formulation of Proclamation Text Museum,Tugu Kunstkring Paleis,Irian Jaya Liberation Monument,National History Museum,Bentara Budaya Jakarta,Grand General Dr. A. H. Nasution Memorial Museum,Mausoleum OG Khouw,Taman Langsat,Proclamation of Independence Monument,Port of Tanjung Priok,National Museum,Museum Bank Indonesia,Taman Kodok Menteng,Palm Bay Water Park,CX WATER PARK,Tabebuya Park,Theater Garuda Taman Bhinneka Tunggal Ika,Jalan Jaksa,Musholla Pasar Malam CNI,Trans Snow World Juanda,Tribeca Park,Taman Maju Bersama,Taman Impian Jaya Ancol,Sea World Ancol,Sion Church,Situ Pamulang,Cibubur Park,Museum Perangko Indonesia,Ruang Pameran Mobil Antik Museum Joang 45,Taman Prasasti Museum,Museum Layang-layang Indonesia,Merdeka Square Jakarta,SS Waterpark TMII,Srengseng City Forest,Putri Duyung Waterpark,Pondok Indah Water Park,Ancol Beach Pool,Bridge of Love Taruma Jaya,Museum of East Timor,Art:1 New Museum,Taman Burung TMII,Taman Spatodhea,Basoeki Abdullah Museum,Museum Telekomunikasi,Universitas Indonesia - Danau Kenanga,East Java Pavilion,Taman Lapangan Banteng,Waterbom Pantai Indah Kapuk,Museum Kebangkitan Nasional,Museum Polri,Taman Ayodya,Waduk Pluit,Children Zoo,Taman Dukuh,Taman Wisata Alam Mangrove Angke Kapuk,Schmutzer Primate Center,Benteng Heritage Museum,Taman Menteng,Onrust Island,Muara Angke Wildlife Refuge,Church of Maria Bunda Karmel,Masjid Agung At Tin,Ants sculpture JGC,Museum Olahraga TMII,Taman Rusa Kemang Pratama,Parks Agro Tourism Cilangkap,Taman Pandang Istana,Sangga Buana,Kastil Batavia,Atlantis Water Adventure,Tugu Tani,Taman Buaya Tanjung Pasir,Pasar Seni,Nurul Iman Mosque Blok M Square,GREEN LAKE VIEW WATERPARK,Taman Suropati,Yerushalayim Bible Artefacts Museum,Hutan Kota Patriot Bina Bangsa Kota Bekasi,GO! Splash waterpark,Taman O,Kosan Muslimah Taman Cempaka,Museum of Fine Art and Ceramics,Museum of Textile,Waterpark Transera,Ragunan Zoo,Hutan Kota GBK,Setu Asih Pulo,Salihara Arts Center,Monas Dancing Fountain,Monumen Patung Dirgantara,Central Java Pavilion,Museum Sumpah Pemuda,Taman Potret,Setu Pedongkelan,Ocean Dream Samudra - Ancol,COMO Park,Eldorado Waterpark Legenda Wisata,Situ Gede Tangerang,Taman Swakarsa,Taman Gajah Tunggal,Taman Wisata Pasir Putih,Taman Mini Indonesia Indah,Taman Tangkuban Perahu,SnowBay Waterpark TMII,Dharma Bhakti Temple,Merdeka Palace,Venetian Water Carnaval,Taman Pemuda Pratama,skyrink Jakarta - Mall Taman Anggrek,Wayang Museum,Pondok Zidane,Sirkus Indoor Waterpark,Pelabuhan Perikanan Samudera Nizam Zachman,Taman Lembah Gurame,Taman Gunung Balong,Jakarta History Museum,Dunia Serangga,Pulau Bidadari,Kampung Main Cipulir,Curug Parigi,Sasmita Loka Ahmad Yani Museum,Taman Waduk Pluit,Taman Kota "Cattleya",Jakarta Planetarium,Masjid Al-Bakrie Taman Rasuna Jakarta,IMAGISPACE,Kidzania Jakarta,Setu Babakan,Taman Ria Atmaja,Playparq Kemang,Arina WaterPark,Museum Reksa Artha,Bartele Gallery,Taman Sepat,GONDOLA ANCOL STASIUN C,Dinosaur Adventure,Aditya Jaya Temple,Museum Pusaka,Danau Hutan Kota Kemayoran,Bayt Al Quran dan Museum Istiqlal,Taman Budaya Tionghoa,Danau Sunter Barat,Museum Keprajuritan Indonesia,Planetarium skyworld tmii,HUTAN KOTA WADUK CINCIN,Pasar Barang Antik,Indonesia Museum,Purna Bhakti Pertiwi Museum,Galeria Sophilia,Depok Fantasi Waterpark - Aladdin,JPG MTB PARK (MTB MEETING POINT) Jalur Pipa Gas MTB Community,Pesona Aquarium Kebagusan,Jakarta Cathedral,Taman Situ Lembang,Museum MACAN (Modern and Contemporary Art in Nusantara),Mangrove Ecotourism Centre PIK,Jakarta Bahari Museum,Pura Agung Tirta Bhuana Bekasi,National Gallery of Indonesia,Dunia Fantasi,Museum Listrik & Energi Baru TMII,Akili Museum of Art,Sarmiento Parakantja Timber,Jalan Gedung Kesenian,Taman Puring Market,Nofri kasur,Marunda Beach,Museum Transportasi,Pusat Peragaan Iptek - Kemenristekdikti,Kandank Jurank Doank,Taman Elektrik,Taman Ismail Marzuki,Dia.lo.gue,Boen Tek Bio Chinese Temple,Air Mancur Waduk Grogol,Istiqlal Mosque,Trans Studio Theme Park Cibubur,Taman Herbal Insani,UI Park,Museum Mandiri,Akses Hutan Lindung Angke Kapuk,Selamat Datang Monument,Jakarta,Pusat Kebudayaan Belanda Erasmus Huis,Museum Tragedi 12 Mei 1998 Universitas Trisakti
Tribeca Park,27880,29378,13419,14013,15338,26609,7236,26429,7688,12722,17374,6989,13102,9769,25551,34267,11929,13255,10088,8035,1263382,7814,12775,6371,12643,12599,21173,8191,7221,13578,13070,27786,22872,25446,8644,11197,35757,0,28052,11480,13988,9681,30194,33363,26085,9548,6710,21073,6978,25617,8192,35912,14226,14472,36491,3098932,13801,25554,24753,24987,24414,28498,786994,8278,11488,10105,11471,13090,8145,21130,24478,14032,22837,28233,12035,23802,12487,8379,23213,41202,24269,33133,31303,6644,1600207,10036,13609,8931,31219,1618177,12608,39135,12640,20822,32283,46439,32241,29045,8200,7652,43244,20993,10473,33227,18406,7003,12826,25920,10775,26129,32940,13783,15432,42769,27841,26571,26361,35934,23433,10240,24310,7732,1722824,39062,27980,4560,7523,37347,31570,10945,30879,21196,7490,26447,23802,11342,38714,10274,8571,5758,10095,16555,12447,9295,28990,25956,14192,40707,19483,11282,31157,13882,26297,24892,26420,16665,23529,26283,18721,26397,24470,17165,13758,24296,23592,10043,45141,32824,21422,8161,13358,6170,10653,9489,29504,8965,12344,26048,7345,1145246,7723,12756,-1,31009,25945,26126,27074,19382,10433,15941,28162,4916,8283,32144,43478,28725,7172,16159,11333,12469,11138,1888
Taman Maju Bersama,50672,17734,23395,31679,33004,43390,26197,6532,25875,21751,27134,22309,32260,22943,7330,13157,18323,23166,23876,24799,1274798,23142,23020,22942,21760,21281,32590,25345,32393,23681,35694,5089,17200,5549,25664,29393,24009,25750,0,32326,31956,35308,22982,8755,6188,24318,26416,15437,25632,5720,27651,30240,18605,32138,42119,3087061,28640,5129,12942,13906,4495,16853,775123,24802,39543,23705,22424,18864,33843,11811,6117,37552,13622,45013,24023,46595,37173,29752,7090,29237,4350,15736,2605,26145,1588337,34722,32155,23794,54012,1629593,18954,19462,24628,27446,20535,34691,6782,2287,33371,24223,31279,11694,22466,27555,14113,25657,15261,6023,22396,42910,8433,31449,13324,23096,44621,19648,43141,30262,4238,20956,4413,32484,1710954,27314,24607,26042,32694,31675,9066,36643,26448,15560,32662,6550,46595,25177,14240,22644,34269,24637,23740,19109,20971,20248,17345,6059,14564,29938,13847,23271,10047,31850,6400,20133,6523,27287,7406,6386,24134,6500,4987,27898,22895,4399,3695,25997,25467,34518,12103,25091,23010,29638,35339,34175,17539,25366,32790,6151,31401,1133376,25264,23708,-1,36637,6048,6230,28769,42347,24078,13663,44943,29668,25214,12471,36266,17080,32344,39679,23321,21928,17574,36046
Taman Impian Jaya Ancol,29360,44118,12604,3053,4654,38262,8704,31703,8055,10835,5539,16977,1222,19758,30825,39541,21918,11794,10264,7146,1253699,17803,11201,16360,22632,11578,11490,10565,4214,11817,21593,33060,32861,30720,11258,22349,41138,13251,33326,0,2039,4884,41747,38637,31359,9724,9558,41821,9351,30891,19270,45901,24214,3511,24863,3104313,4937,30828,39326,36539,29688,43237,792374,7778,12968,10720,21460,23079,6701,38196,29752,15511,40006,30280,11220,25282,11386,17362,28487,22588,29543,38513,36577,9017,1605588,4658,1583,9107,32699,1608494,22597,44409,11470,11238,37663,31466,37515,34319,5566,12487,34179,38078,20462,43216,28395,9376,22814,31194,11480,37783,38215,2893,25420,48044,31337,28561,38014,57319,28707,13741,29584,6394,1728205,44443,49555,13543,4516,58732,39312,9172,51395,41944,4483,31721,25282,22538,44238,12325,7945,18128,10271,14050,22436,19284,43730,31230,24181,52260,40231,11765,36431,2042,31571,18133,31694,6673,28803,31557,8729,31671,29745,7482,11486,29570,28866,7896,50415,44376,38487,7272,11656,17248,12133,5592,32576,8465,465,31322,24485,1150627,6834,22745,-1,19381,31219,31401,38627,28382,10609,25929,30364,9842,7394,37418,55031,43464,4165,17638,11586,12226,21127,11690
Sea World Ancol,31941,43559,14415,2441,4042,40844,10515,31144,9866,12646,4981,19559,1009,22339,30267,38983,24499,20837,12075,8957,1253140,20384,13012,18941,25213,18952,10932,12376,6025,13628,24174,32502,43026,30162,13069,24931,40580,15832,32768,3457,0,6695,44328,38079,30801,11535,11369,41263,11162,30333,21851,56066,26796,2900,24305,3103754,8084,30270,38768,39121,29130,42679,791816,9589,15549,11127,24041,25660,8512,37637,29193,18093,39448,32861,13031,27863,16548,19943,27929,22030,28985,37955,36019,10828,1605030,6469,903,10918,35280,1607935,25178,43851,13281,10680,37105,30908,36957,33761,7377,20222,33621,37520,23043,53381,31170,11187,25396,30636,13291,40364,37656,2282,28002,47485,33918,28003,40595,56761,28149,21115,29026,8205,1727647,43885,48997,16124,6327,58174,38754,10983,50837,41386,6294,31163,27863,25119,43680,21368,9756,20709,12082,21424,25017,21865,43171,30672,26762,54841,39673,13576,35873,599,31013,17575,31136,7081,28245,30999,9136,31113,29186,6923,13297,29012,28308,8303,49857,46958,37929,9083,13467,19829,14714,7403,32018,10276,1911,30764,27067,1150069,8645,25326,-1,18823,30661,30842,41208,30963,12420,28511,32945,12423,9205,36860,57612,42906,5976,20220,13397,19600,23709,16705
Sion Church,26651,33654,8994,6530,7854,30868,5038,30705,5490,8832,7821,11265,5313,14045,29827,38543,16205,8842,8261,5143,1255898,12090,8350,10647,16919,9575,13689,5994,669,9165,18884,32062,27148,29722,6687,15455,40033,8526,32328,4091,6807,0,34453,37639,30361,7721,5648,25349,4779,29893,14546,40188,18502,6988,27062,3103208,2934,29830,29029,23818,28690,32774,791270,5775,10259,7021,15747,17366,4565,25406,28754,12802,27112,32491,7610,22573,9251,12638,27489,24787,28545,37409,35579,4446,1604483,2085,5674,7104,29990,1610693,16884,43411,8226,13437,36559,33665,36517,33321,1648,8577,23826,25269,14749,37503,22682,4805,17102,30196,9477,30388,37216,6299,19708,47045,32099,30847,30619,40210,27709,9456,28586,2788,1727100,43338,32256,8819,971,41623,35846,7037,35155,25472,938,30723,22573,16825,42990,9334,5810,12415,8268,12047,16723,13571,33266,30232,18468,44966,23759,7194,35433,6701,30573,13492,30696,7597,27805,30559,6811,30673,28746,9282,9483,28572,27868,4062,49417,37082,25698,5269,8945,12523,9424,3457,32110,6462,4556,30324,12205,1149522,4831,17032,-1,21580,30221,30402,31333,21832,8606,20217,32420,5118,5391,36420,47736,33001,620,14929,7014,10223,15414,8084
Situ Pamulang,42295,28277,24396,42214,43539,29543,25185,25162,31897,38209,45574,21206,41302,18574,27264,21226,21627,24232,24807,32244,1291256,19169,23751,21057,15339,37739,49048,24333,34610,24555,27317,25030,17599,24179,24652,21015,44257,27990,25795,39680,42188,37070,0,31288,24818,25555,30470,11354,24620,24350,19273,14337,12184,42672,62367,3107309,42002,26534,19481,11511,23124,27396,795371,32487,31165,26112,18485,15512,36386,15663,22047,29175,17369,31167,23012,38217,32620,24015,24919,49485,22979,35984,29046,31514,1608585,38237,41809,24938,45634,1646052,16238,37060,23616,43904,40782,54939,26275,26788,35588,22339,51527,15526,18420,16577,16490,24645,23077,24653,38854,29064,27796,41983,15690,40694,30775,39895,29295,16501,22868,24242,23043,33043,1731202,47562,11211,28283,34911,16310,29314,39186,18291,11842,34879,25180,38217,16799,34488,24276,36812,22771,24846,26926,14550,20310,15752,24689,16930,7777,12006,22259,18116,42082,25030,36591,25153,44866,25235,25016,40593,25130,23617,45365,24735,23029,22325,34253,22595,10700,15954,32370,24335,21625,31773,37690,37787,33174,40545,24781,26222,1153623,31933,15682,-1,56885,24678,24860,6664,33970,25185,16029,31096,31891,32493,30069,14104,27623,34561,31302,22310,26471,20887,28863
Cibubur Park,56593,9756,27422,35706,37031,48764,30224,15703,29902,25778,31161,26336,36287,26970,14833,18531,22350,27193,27903,28826,1278825,27169,27047,26969,27623,25308,36617,29372,36419,27708,41068,11295,22574,14720,29690,36597,31857,29777,8339,36353,35983,39335,28356,0,15360,28345,30443,20811,29659,14891,33025,19903,23980,36165,49968,3094910,32667,14135,18316,19280,13689,12614,782972,28829,40201,27732,26450,28070,37870,17186,12445,42744,18996,50387,28050,52515,41200,33779,12488,37086,13544,23584,6432,30172,1596185,38749,36182,27821,59932,1633620,27587,6355,28655,31473,28383,42540,5054,8661,37398,28250,39127,17068,26493,17218,19487,29684,19288,15194,26423,48284,7808,35475,18698,13697,49996,23747,48515,17825,12708,24983,13585,36511,1718802,35163,15235,30069,36721,19238,16915,40670,11901,20934,36689,15721,52515,30551,15294,26671,38296,28664,27767,23136,26346,24275,17396,15230,19938,35312,19221,27297,15421,35877,15571,24160,15694,31314,12804,15558,28161,15672,13752,31925,26922,13570,12867,30024,12360,39892,17477,29118,27037,33665,39366,38202,25387,29393,36817,15323,35428,1141224,29291,27735,-1,44486,15220,15401,34143,47722,28105,19037,50317,33695,29241,3071,24772,12841,36370,44871,27348,25955,21601,30667
Museum Perangko Indonesia,52014,19075,23478,31763,33087,44731,26281,103,25958,21835,27218,22393,32344,23026,8409,14499,18407,23249,23959,24882,1274882,23226,23104,23025,23102,21364,32673,25429,32476,23765,37036,7399,18542,2221,25747,30734,23949,25833,5469,32409,32040,35392,24324,13773,0,24401,26499,16779,25715,2392,28992,31582,19947,32221,42060,3087002,28723,6208,14284,15248,1485,18195,775064,24885,40885,23789,22507,20205,33926,13153,7556,38894,14964,46355,24107,47936,37257,29835,8544,29178,1444,15676,8050,26228,1588277,34806,32238,23877,55353,1629677,20296,19545,24712,27529,20475,34632,10722,5594,33454,24306,31219,13036,22550,28897,15455,25740,15344,687,22480,44252,13172,31532,14666,23180,45963,19588,44483,31604,1555,21039,1919,32568,1710894,27255,24691,26125,32777,33017,9006,36726,26531,16902,32745,862,47936,26519,14180,22728,34352,24720,23824,19193,22313,20332,18687,2731,15906,31280,15189,23354,11389,31934,879,20217,835,27371,8860,3058,24218,813,1659,27982,22979,1552,1748,26080,25551,35860,13445,25175,23093,29721,35423,34259,17479,25450,32874,2823,31484,1133316,25348,23792,-1,36578,361,2902,30110,43689,24162,15004,46284,29752,25297,12554,37607,18422,32427,41021,23405,22012,17657,26724
Ruang Pameran Mobil Antik Museum Joang 45,38117,25893,2880,10072,11511,30532,2045,22943,3895,2365,9494,7850,8856,8484,22066,22595,8434,2070,540,3313,1259568,8683,1477,6303,8958,2951,17359,3317,7514,2093,23302,24301,19187,21961,3652,15120,32272,8225,24566,7633,10349,8503,24944,29878,22600,0,4079,17388,3872,22132,12825,32227,12846,10531,30944,3095447,6477,22069,21068,15857,20929,25013,783508,3316,21725,2536,7785,9405,11410,14693,20992,24268,19151,32156,1496,34039,22724,12302,19728,20232,20784,29647,27817,3538,1596722,8929,9216,1375,41456,1614363,8922,35650,1746,15348,28797,42954,28756,25560,8492,5343,21581,14556,7828,29542,12844,3897,9341,22435,1227,30053,29455,9841,11045,39284,31764,16609,30284,32249,19948,2723,20825,6989,1719339,35577,24295,8517,7815,33662,28085,13881,27194,17511,7783,22961,34039,12558,35229,2601,19820,10188,547,4351,11067,5610,25505,22471,9806,31900,15798,2025,27672,10243,22811,8045,22935,9270,20044,22798,8485,22912,20985,10955,1762,20811,20107,5488,41655,29571,14985,4368,1932,12188,20890,10301,24349,4003,8098,22563,13951,1141761,3930,9070,-1,25462,22460,22641,23822,25648,885,11547,32085,9581,3234,28659,38227,25240,7465,26395,2267,4692,6788,8147
Taman Prasasti Museum,34283,27351,5173,9496,10935,26534,1523,24402,2557,7590,8918,5950,8280,9942,23524,24053,9893,5020,4309,2904,1258992,6775,4528,4322,10417,8333,16784,2172,4271,5343,19305,25759,20645,23419,2865,11122,33730,4227,26025,7058,9773,6731,30120,31336,24058,3769,0,18846,958,23590,10213,33686,13187,9955,30156,3096905,5901,23527,22526,17315,22387,26471,784967,3147,13952,4325,9244,10863,8168,18903,22451,21163,20610,28158,3789,30205,14952,8305,21187,22484,22242,31106,29276,2174,1598180,5687,8641,3152,37622,1613787,10381,37109,4405,16531,30256,44412,30215,27018,5250,3362,23833,18766,9286,31001,15195,983,10799,23893,4996,26055,30914,9266,13396,40743,27766,24544,26286,33707,21406,6009,22283,3747,1720797,37035,25753,4519,4573,35120,29544,10639,28653,18969,4540,24420,30205,11511,36688,5512,9412,7817,4316,9105,11408,7068,26963,23929,12156,40633,17256,3372,29130,9667,24270,12250,24393,8694,21502,24256,7909,24370,22444,10379,5523,22269,21565,4912,43114,32749,19195,3030,5123,8190,13118,7059,25807,3834,7522,24021,9954,1143219,2592,10529,-1,24675,23918,24100,27000,25958,4654,13905,28087,5793,3152,30117,43403,26698,4222,23290,3193,8238,9102,4359
Museum Layang-layang Indonesia,39351,19363,17890,39270,40595,32068,18680,16247,28954,29295,42630,14965,38359,13680,18350,7015,12706,16839,18302,20109,1282342,14275,17246,16164,8093,28825,40134,17828,31666,18050,24373,16116,4635,15265,18146,18071,35343,25047,16881,36737,39245,34126,11666,22374,15904,19050,18899,0,18114,15436,16329,14974,6664,39729,53453,3098395,39058,17620,6081,2606,14210,18482,786457,20112,28221,19607,9565,7563,33442,4820,13133,26231,4061,33692,16506,35273,29676,21071,16005,40571,14065,27069,20132,20334,1599670,35293,38866,18433,42690,1637137,7654,28146,17111,34990,31868,46025,17361,17874,32645,17445,42612,3759,11915,19038,7576,18140,14163,15739,29940,31589,18882,39039,6776,31780,33300,30981,31820,17030,13954,17321,14129,30100,1722287,38648,13791,25339,31968,17524,20400,36242,16690,1389,31935,16266,35273,13856,25574,17036,33868,17877,18341,15543,9656,11389,10427,15775,8016,14921,1675,15753,9202,39139,16115,27677,16239,41922,16321,16102,31679,16216,14703,35442,18229,14115,13411,33541,24365,23197,5407,29426,17829,18681,28829,34746,28872,20799,37601,15867,23278,1144709,28989,8488,-1,47971,15764,15945,17447,31026,18679,6313,33621,28947,20031,21155,21248,18709,31617,28358,15804,29473,11966,25919
Merdeka Square Jakarta,36486,26394,4215,10738,12177,28738,566,23444,3798,6449,10160,8350,9521,8984,22567,23096,8935,4062,3351,3216,1260234,9183,3571,4475,9459,5853,18025,1214,5720,4386,21509,24802,19687,22461,1908,13326,32772,6431,25067,8299,11014,9168,25444,30379,23101,2811,2285,17888,0,22632,12416,32728,13346,11196,29863,3095947,7142,22570,21569,16357,21430,25513,784009,3219,15947,3368,8286,9905,9616,17945,21493,23366,19652,30362,2831,32409,16946,10509,20229,21527,21285,30148,28318,3441,1597223,7136,9882,2194,39826,1615029,9423,36151,3447,14266,29298,43455,29257,26060,6698,3515,22876,17808,8329,30043,14237,25,9841,22935,4038,28259,29956,10507,12438,39785,29970,23587,28490,32750,20449,4677,21326,5196,1719840,36078,24796,6723,6021,34163,28586,12087,27695,18012,5989,23462,32409,13059,35730,4555,10860,10689,3358,8147,11568,6111,26006,22971,11198,32401,16298,2414,28172,10909,23312,10947,23435,9936,20545,23299,9150,23413,21486,11621,4566,21311,20608,6154,42156,34953,18237,4271,4165,10394,15112,8507,24850,3906,8764,23064,12158,1142262,3834,9571,-1,24381,22961,23142,29204,23855,3696,12947,30291,7788,3137,29160,38728,25740,5671,25493,2235,6906,8145,6353
SS Waterpark TMII,51982,19043,23446,31730,33055,44699,26248,571,25926,21802,27185,22360,32311,22994,8377,14467,18374,23217,23927,24850,1274849,23193,23071,22993,23070,21332,32641,25396,32444,23733,37004,7367,18509,860,25715,30702,23917,25801,5437,32377,32007,35359,24291,13741,468,24369,26467,16747,25683,0,28960,31550,19915,32189,42027,3086970,28691,6176,14252,15216,1453,18163,775031,24853,40852,23756,22475,20173,33894,13121,7524,38862,14932,46323,24075,47904,37224,29803,8512,29145,1411,15644,8018,26196,1588245,34773,32206,23845,55321,1629644,20264,19513,24679,27497,20443,34599,10690,5562,33422,24274,31187,13003,22517,28865,15422,25708,15312,654,22447,44220,13140,31500,14634,23147,45931,19556,44451,31572,1522,21007,1887,32536,1710862,27222,24658,26093,32745,32984,8974,36694,26499,16870,32713,830,47904,26486,14148,22695,34320,24688,23791,19161,22281,20299,18655,1370,15874,31248,15157,23322,11356,31901,847,20184,803,27339,8828,585,24186,780,1627,27949,22946,1520,1716,26048,25518,35828,13413,25143,23061,29689,35390,34226,17447,25417,32842,983,31452,1133284,25315,23760,-1,36546,328,510,30078,43657,24130,14972,46252,29720,25265,12522,37575,18390,32395,40989,23372,21979,17625,26691
Srengseng City Forest,29829,31242,12277,20323,21647,22546,10506,28126,11303,14005,23683,8030,19411,7074,28665,24191,15043,11316,11856,12375,1269691,5680,15889,7568,6793,13111,27482,9959,14016,16692,14851,27995,20564,27144,10412,5863,38871,7396,28760,17789,20297,16476,19684,34253,27783,11316,10007,16561,9941,27315,0,33604,8903,20781,42800,3102046,20111,29499,22445,14476,26089,30361,790107,12378,18699,11872,7409,6935,15466,18627,25012,16709,20334,24170,15149,25751,20154,4117,26327,44316,25944,36246,32011,10920,1603321,16345,19918,10699,33168,1624486,7706,40025,15754,27131,35396,49553,29239,29753,14994,8680,46358,18490,7774,30919,19455,9966,15940,27617,12543,22066,30761,20092,18655,43659,23778,29685,22298,33626,25833,10752,26008,12449,1725938,42176,25672,6154,14317,35039,32279,18266,28571,16684,14285,28144,25751,4178,37452,10786,15892,7179,11863,12380,7125,12409,26966,27654,19895,30197,14971,14396,21080,20191,27994,28006,28118,22974,26643,27981,25030,28095,26582,23474,12121,25994,25290,13659,36244,22313,18919,11776,12121,2467,16963,15799,30948,13065,18653,27746,4184,1148360,11339,6632,-1,37318,27643,27824,16564,21504,12201,18993,24099,11297,12297,33034,32967,30588,13967,18836,14447,12981,14252,8269
Putri Duyung Waterpark,55820,13456,33605,55501,56826,43069,34394,32057,36333,45573,50956,30679,56082,28473,34627,19603,28421,32554,34016,35824,1298620,27124,32961,31312,23293,45103,56411,33542,42498,33764,40842,22868,15783,31075,33861,34540,51652,41516,33191,53206,55778,44959,14346,22679,31714,34764,34613,14833,33829,31246,32798,0,20139,55960,69763,3114705,52462,33930,17279,16761,30020,16315,802767,35827,44691,47527,25279,25949,49911,18075,28943,42700,17316,44692,32221,51742,46145,37541,32283,56881,29875,43379,27452,36049,1615980,51762,55977,34147,59159,1653415,25907,18073,32825,51267,48178,62335,20453,34184,43477,32593,58922,17014,27629,5258,23386,33854,27558,31549,46218,42589,17290,55270,22586,33629,44301,43541,42821,2965,29764,33036,29939,37523,1738597,54958,9665,41808,42800,2513,36709,52711,8449,15209,42767,32076,51742,30325,35226,32751,50337,34743,34055,31258,22504,27103,15082,31585,23826,12871,15830,31468,21225,55672,31925,43955,32049,51109,32598,31912,47956,32026,30513,51720,33944,29925,29221,49819,10491,24226,18662,48913,33544,29398,45298,51215,45182,36514,54070,31677,39747,1161019,36369,23637,-1,64281,31574,31755,20190,47495,34394,22028,44622,45417,35745,23003,7856,16542,42449,44827,31519,45750,27680,42388
Pondok Indah Water Park,35822,21826,12708,25140,26465,28539,13498,18711,15436,14931,28500,9519,24229,6887,20813,14775,11398,12544,13120,14927,1274508,7482,12064,9370,3036,14913,32300,12646,18833,12867,20844,18579,11148,17728,12964,14542,37806,12196,19344,22606,25115,21293,10347,24837,18367,13868,13717,7134,12932,17899,8518,24189,0,25599,55916,3100858,24928,20083,13030,5049,16673,20945,788920,14930,24692,14424,4567,2854,20284,9212,15596,22702,10918,30163,11324,31744,26147,11406,18468,43034,16528,29533,22595,15152,1602134,21163,24736,13251,39161,1629304,3581,30609,11929,31948,34331,48488,19824,20337,19812,10651,45076,9075,6733,21504,10039,12958,12305,18202,15576,28060,21345,24909,9239,34243,29771,26050,28291,24210,16417,12554,16592,16627,1724751,41111,16256,12489,19135,25837,22863,23084,19156,6892,19102,18729,31744,6660,28037,12588,20710,11084,13159,13428,2862,6628,17550,18238,10479,17304,5544,10571,11665,25009,18579,30140,18702,27792,18784,18565,29847,18679,17166,28292,13047,16578,15874,17792,26828,19668,9503,15909,12647,9756,21780,20616,31336,15617,23471,18330,12882,1147172,15472,3380,-1,50434,18227,18409,13918,27497,13497,6804,30092,16109,14849,23618,23631,21172,18784,24829,10622,14783,10608,13081
Ancol Beach Pool,31476,43094,21620,1922,1127,40378,10598,30679,9949,18957,4516,19093,2859,21874,29801,38518,24033,20372,12158,9041,1252675,19919,13096,18476,24748,18487,10466,12460,7266,20888,23709,32037,42560,29696,13153,24465,40114,15366,32302,4672,2555,7655,43863,37614,30336,11619,11453,40798,11245,29867,21386,55601,26330,0,23839,3103289,7618,29805,38303,38655,28665,42214,791351,9673,15083,10662,23575,25195,9577,37172,28728,17627,38983,32396,13115,27398,16083,19478,27464,21564,28520,37490,35553,10911,1604564,7709,2754,11001,34815,1607470,24712,43386,20392,10214,36640,30442,36492,33295,9236,19757,33156,37054,22578,52916,30705,11270,24930,30170,19602,39899,37191,2048,27536,47020,33453,27537,40130,56295,27684,20649,28561,9410,1727181,43420,48531,15659,7567,57708,38289,12048,50372,40921,7535,30697,27398,24654,43214,20903,10821,20244,12165,20959,24551,21400,42706,30206,26297,54376,39208,13660,35407,2449,30547,17110,30670,6615,27780,30533,8671,30648,28721,6458,20101,28546,27843,7838,49391,46492,37464,9166,20216,19364,14249,8468,31552,10360,4019,30299,26601,1149603,8729,24860,-1,18357,30195,30377,40743,30498,12504,28045,32480,11958,9289,36395,57146,42441,7217,19754,13480,19134,23243,16239
Bridge of Love Taruma Jaya,52472,55621,31964,25036,26361,61375,29107,44287,29528,29301,20943,40090,25617,42870,38524,51045,38679,30716,29415,28300,1262648,40915,31259,39472,43952,28831,20439,31547,28275,31232,44705,43948,55087,43305,30853,45461,26338,36363,42018,25682,25313,28665,60869,50319,43944,28875,30540,53324,30332,43476,42382,68128,56493,25494,0,3100496,28628,39809,50829,51793,42250,54740,788558,28303,36080,27473,42779,44399,30573,49699,45234,38623,51510,53392,31041,48394,37079,40474,37808,15930,42105,34711,44599,29999,1601771,30011,25511,28351,55811,1617443,43916,56091,30736,20058,24042,13185,49019,42286,30232,40753,15620,49581,43574,65443,52000,30358,35617,43779,29946,60895,49718,24805,51212,59725,54449,30504,61126,68149,41994,30993,42169,30419,1724388,20281,61236,36655,30093,69562,35132,33045,63077,53448,30141,44305,48394,45650,40058,31247,31818,41240,29422,31303,45548,40604,55233,43815,40780,67826,51734,31758,47934,25207,44155,27454,44279,27625,38124,44142,25219,44256,42743,19820,30445,42155,41451,28848,62096,72405,49990,28744,30560,40360,35245,29465,28396,28868,26147,43907,47598,1146810,29739,44064,-1,9210,43804,43985,66656,51494,29760,51550,53476,32954,28867,49100,74153,54967,28226,40750,32000,29478,37930,37235
